"
Ministero dell'Istruzione - Ufficio Scolastico Regionale per la Sicilia
Caltanissetta;IST TEC COMMERCIALE E PER GEOMETRI;CLTD090005;"ITET ""RAPISARDI- DA VINCI""";VIALE REGINA MARGHERITA, 27;93100;009;CALTANISSETTA;CLTD090005@istruzione.it;CLTD090005@pec.istruzione.it;093425377;80003710854
Caltanissetta;ISTITUTO TECNICO INDUSTRIALE;CLTF020005;"SETTORE TECNOLOGICO ""E. MORSELLI""";VIA        PITAGORA;93012;010;GELA;CLTF020005@istruzione.it;CLTF020005@pec.istruzione.it;0933930997;82002330858
Catania;DIREZIONE DIDATTICA;CTEE008002;CD  DE AMICIS CATANIA;VIA ELEONORA D'ANGIO' 79 BIS;95125;012;CATANIA;CTEE008002@istruzione.it;CTEE008002@pec.istruzione.it;095431980;80015170873
Catania;DIREZIONE DIDATTICA;CTEE01700R;CD  M.RAPISARDI CATANIA;VIA AOSTA 31;95127;014;CATANIA;CTEE01700R@istruzione.it;CTEE01700R@pec.istruzione.it;095506475;80007590872
Catania;DIREZIONE DIDATTICA;CTEE036006;CD   E. ROSSI   ACICATENA;VIA F. STRANO 79;95022;019;ACI CATENA;CTEE036006@istruzione.it;CTEE036006@pec.istruzione.it;095801522;81003950870
Catania;DIREZIONE DIDATTICA;CTEE04200D;I - CD SANTE GIUFFRIDA ADRANO;VIA CUSMANO DI ALCARA LI FUSI 15;95031;022;ADRANO;CTEE04200D@istruzione.it;CTEE04200D@pec.istruzione.it;0957692669;80012080877
Catania;DIREZIONE DIDATTICA;CTEE043009;"II - CD ""DON A. LA MELA"" ADRANO";VIA I MAGGIO, 1;95031;022;ADRANO;CTEE043009@istruzione.it;CTEE043009@pec.istruzione.it;0957694233;80012820876
Catania;DIREZIONE DIDATTICA;CTEE044005;CD TERESA DI CALCUTTA BELPASSO;PIAZZA DUOMO 9;95032;023;BELPASSO;CTEE044005@istruzione.it;CTEE044005@pec.istruzione.it;095912141;80008470876
Catania;DIREZIONE DIDATTICA;CTEE045001;CD  S.G. BOSCO  BIANCAVILLA;VIA B.CROCE 1;95033;022;BIANCAVILLA;CTEE045001@istruzione.it;CTEE045001@pec.istruzione.it;095686340;80010290874
Catania;DIREZIONE DIDATTICA;CTEE04600R;CD  BIANCAVILLA  II;VIA DEI MANDORLI S.N.;95033;022;BIANCAVILLA;CTEE04600R@istruzione.it;CTEE04600R@pec.istruzione.it;095985309;80027690876
Catania;DIREZIONE DIDATTICA;CTEE04700L;CD NICOLA SPEDALIERI BRONTE;PIAZZA SPEDALIERI, 8;95034;022;BRONTE;CTEE04700L@istruzione.it;CTEE04700L@pec.istruzione.it;095691240;80013070877
Catania;DIREZIONE DIDATTICA;CTEE04800C;CD  BRONTE II;VIA STEROPE 38;95034;022;BRONTE;CTEE04800C@istruzione.it;CTEE04800C@pec.istruzione.it;095691220;80016110878
Catania;DIREZIONE DIDATTICA;CTEE06700T;"C.D. ""G. LOMBARDO RADICE""";VIA E. BELLIA 166;95047;023;PATERNO';CTEE06700T@istruzione.it;CTEE06700T@pec.istruzione.it;095842677;80013540879
Catania;DIREZIONE DIDATTICA;CTEE06800N;CD GIOVANNI XXIII -PATERNO';VIA VULCANO 12;95047;023;PATERNO';CTEE06800N@istruzione.it;CTEE06800N@pec.istruzione.it;095841054;80013160876
Catania;DIREZIONE DIDATTICA;CTEE06900D;CD  III  PATERNO';VIA PIETRO LUPO 131;95047;023;PATERNO';CTEE06900D@istruzione.it;CTEE06900D@pec.istruzione.it;095841296;80012280873
Catania;DIREZIONE DIDATTICA;CTEE073005;CD DON  MILANI   RANDAZZO;VIA VITTORIO VENETO 4;95036;021;RANDAZZO;CTEE073005@istruzione.it;CTEE073005@pec.istruzione.it;095921365;83001210877
Catania;DIREZIONE DIDATTICA;CTEE081004;CD  T.DI CALCUTTA-TREMESTIERI;VIA GUGLIELMINO, 49;95030;018;TREMESTIERI ETNEO;CTEE081004@istruzione.it;CTEE081004@pec.istruzione.it;0957252431;80022590873
Catania;DIREZIONE DIDATTICA;CTEE08300Q;CD  ZAFFERANA ETNEA;VIA F.DE ROBERTO, 113;95019;019;ZAFFERANA ETNEA;CTEE08300Q@istruzione.it;CTEE08300Q@pec.istruzione.it;0957082024;81002550879
Catania;DIREZIONE DIDATTICA;CTEE087003;CD  S. AGATA LI BATTIATI;LARGO PERLASCA, 3;95030;018;SANT'AGATA LI BATTIATI;CTEE087003@istruzione.it;CTEE087003@pec.istruzione.it;095241247;93025290870
Catania;DIREZIONE DIDATTICA;CTEE09000V;III  CD S.NICOLO' POLITI ADRANO;VIA DEI DIRITTI DEL FANCIULLO, 45;95031;022;ADRANO;CTEE09000V@istruzione.it;CTEE09000V@pec.istruzione.it;0957695676;93067380878
Catania;ISTITUTO COMPRENSIVO;CTIC80300R;IC L.DA VINCI-CASTEL DI IUDICA;PIAZZA MARCONI, 7;95040;017;CASTEL DI IUDICA;CTIC80300R@istruzione.it;CTIC80300R@pec.istruzione.it;095661065;82003100870
Catania;ISTITUTO COMPRENSIVO;CTIC806008;IC CARLO LEVI - MANIACE;PIAZZA DELL'AUTONOMIA, 26;95030;022;MANIACE;CTIC806008@istruzione.it;CTIC806008@pec.istruzione.it;095690457;93024860871
Catania;ISTITUTO COMPRENSIVO;CTIC80800X;IC MAZZARRONE - LICODIA EUBEA;VIA ALCIDE DE GASPERI 1;95040;015;MAZZARRONE;CTIC80800X@istruzione.it;CTIC80800X@pec.istruzione.it;093328313;82002730875
Catania;ISTITUTO COMPRENSIVO;CTIC80900Q;I.C. E. DE AMICIS  MIRABELLA I.;PIAZZA     ALDO MORO,7;95040;015;MIRABELLA IMBACCARI;CTIC80900Q@istruzione.it;CTIC80900Q@pec.istruzione.it;0933991134;82002290870
Catania;ISTITUTO COMPRENSIVO;CTIC81100Q;IC   L. CAPUANA    MINEO;VIA SANT'IPPOLITO, SN;95044;016;MINEO;CTIC81100Q@istruzione.it;CTIC81100Q@pec.istruzione.it;0933982141;82002070876
Catania;ISTITUTO COMPRENSIVO;CTIC81200G;G. GALILEI;VIA UMBERTO, 8/B;95035;022;MALETTO;CTIC81200G@istruzione.it;CTIC81200G@pec.istruzione.it;0957720005;93032380870
Catania;ISTITUTO COMPRENSIVO;CTIC81300B;"I.C.S. ""GIOVANNI PAOLO II""";VIA  PIERSANTI MATTARELLA, 41/43;95040;023;BELPASSO;CTIC81300B@istruzione.it;CTIC81300B@pec.istruzione.it;0957131259;93105000876
Catania;ISTITUTO COMPRENSIVO;CTIC814007;IC SCANDURA   ACI CATENA;VIA        DR. CHIARENZA;95022;019;ACI CATENA;CTIC814007@istruzione.it;CTIC814007@pec.istruzione.it;095879338;90006050877
Catania;ISTITUTO COMPRENSIVO;CTIC815003;IC F.GUGLIELMINO ACICATENA;VIA        DANTE ALIGHIERI     6;95022;019;ACI CATENA;CTIC815003@istruzione.it;CTIC815003@pec.istruzione.it;095801568;81002750875
Catania;ISTITUTO COMPRENSIVO;CTIC81600V;IC G. FALCONE - ACICASTELLO;VIA CESARE BATTISTI, 12;95021;019;ACI CASTELLO;CTIC81600V@istruzione.it;CTIC81600V@pec.istruzione.it;095274644;81002670875
Catania;ISTITUTO COMPRENSIVO;CTIC81800E;V - I.C.  P.VASTA  ACIREALE;VIA DOTT. ALFIO FICHERA  3;95024;019;ACIREALE;CTIC81800E@istruzione.it;CTIC81800E@pec.istruzione.it;0957634515;81002490878
Catania;ISTITUTO COMPRENSIVO;CTIC81900A;VI - I.C.  GIOV. XXIII ACIREALE;VIA FIRENZE S.N.;95024;019;ACIREALE;CTIC81900A@istruzione.it;CTIC81900A@pec.istruzione.it;095607135;81004380879
Catania;ISTITUTO COMPRENSIVO;CTIC82000E;IC A. BRUNO - BIANCAVILLA;VIALE DEI FIORI;95033;022;BIANCAVILLA;CTIC82000E@istruzione.it;CTIC82000E@pec.istruzione.it;095985310;80014040879
Catania;ISTITUTO COMPRENSIVO;CTIC82100A;IC G.MACHERIONE -CALATABIANO;VIA        VITTORIO VENETO N. 93/95;95011;020;CALATABIANO;CTIC82100A@istruzione.it;CTIC82100A@pec.istruzione.it;095645610;83002490874
Catania;ISTITUTO COMPRENSIVO;CTIC822006;I.C. G. ARCOLEO - V. DA  FELTRE;VIA SAN DOMENICO SAVIO N. 4;95041;015;CALTAGIRONE;CTIC822006@istruzione.it;CTIC822006@pec.istruzione.it;093321179;82002460879
Catania;ISTITUTO COMPRENSIVO;CTIC823002;IC P. GOBETTI - CALTAGIRONE;VIA  PIERSANTI MATTARELLA S.N.;95041;015;CALTAGIRONE;CTIC823002@istruzione.it;CTIC823002@pec.istruzione.it;093325663;91013600878
Catania;ISTITUTO COMPRENSIVO;CTIC82500N;IC A. NARBONE - CALTAGIRONE;VIA DEGLI STUDI, 8;95041;015;CALTAGIRONE;CTIC82500N@istruzione.it;CTIC82500N@pec.istruzione.it;093321697;91013660872
Catania;ISTITUTO COMPRENSIVO;CTIC82600D;I.C. VERGA FIUMEFREDDO;VIA        M. RAPISARDA        38;95013;020;FIUMEFREDDO DI SICILIA;CTIC82600D@istruzione.it;CTIC82600D@pec.istruzione.it;0957762738;83002540876
Catania;ISTITUTO COMPRENSIVO;CTIC828005;IC G. TOMASI DI LAMPEDUSA;VIALE  ALDO MORO N. 22;95030;018;GRAVINA DI CATANIA;CTIC828005@istruzione.it;CTIC828005@pec.istruzione.it;095416230;93003130874
Catania;ISTITUTO COMPRENSIVO;CTIC830005;II -IC  FUCCIO-LASPINA ACIREALE;VIA MONETARIO FLORISTELLA 4;95024;019;ACIREALE;CTIC830005@istruzione.it;CTIC830005@pec.istruzione.it;095891581;90018090879
Catania;ISTITUTO COMPRENSIVO;CTIC83200R;SANTO CALI';VIA        SANT'ANTONINO       12;95015;021;LINGUAGLOSSA;CTIC83200R@istruzione.it;CTIC83200R@pec.istruzione.it;095643051;83002470876
Catania;ISTITUTO COMPRENSIVO;CTIC83400C;IC FEDERICO II DI SVEVIA;VIA DEL SOLE, SN;95030;018;MASCALUCIA;CTIC83400C@istruzione.it;CTIC83400C@pec.istruzione.it;095910718;93105190875
Catania;ISTITUTO COMPRENSIVO;CTIC835008;"IC ""P.CARRERA"" - MILITELLO V.C.";VIALE REGINA MARGHERITA, 15;95043;016;MILITELLO IN VAL DI CATANIA;CTIC835008@istruzione.it;CTIC835008@pec.istruzione.it;0957942200;80011340876
Catania;ISTITUTO COMPRENSIVO;CTIC836004;IC L.DA VINCI - MISTERBIANCO;VIA      G.BARONE;95045;013;MISTERBIANCO;CTIC836004@istruzione.it;CTIC836004@pec.istruzione.it;0957556931;80011380872
Catania;ISTITUTO COMPRENSIVO;CTIC83700X;I.C. MOTTA SANT'ANASTASIA;VIALE DELLA REGIONE  28;95040;013;MOTTA SANT'ANASTASIA;CTIC83700X@istruzione.it;CTIC83700X@pec.istruzione.it;095306410;93105100874
Catania;ISTITUTO COMPRENSIVO;CTIC83800Q;IC S. CASELLA  PEDARA;VIA E.D'ANGIO' N.14;95030;018;PEDARA;CTIC83800Q@istruzione.it;CTIC83800Q@pec.istruzione.it;095915694;81003970878
Catania;ISTITUTO COMPRENSIVO;CTIC83900G;IC C.DUSMET - NICOLOSI;VIA        MONTI ROSSI,  14;95030;018;NICOLOSI;CTIC83900G@istruzione.it;CTIC83900G@pec.istruzione.it;095911420;80011980879
Catania;ISTITUTO COMPRENSIVO;CTIC84100G;IC G. PONTE - PALAGONIA;VIA        CIRCONVALLAZIONE    15;95046;017;PALAGONIA;CTIC84100G@istruzione.it;CTIC84100G@pec.istruzione.it;0957958706;82002010872
Catania;ISTITUTO COMPRENSIVO;CTIC84200B;IC    G. MARCONI - PATERNO';VIA        VIRGILIO            3;95047;023;PATERNO';CTIC84200B@istruzione.it;CTIC84200B@pec.istruzione.it;095622682;80008070874
Catania;ISTITUTO COMPRENSIVO;CTIC84500V;IC DON MILANI   PATERNO';P.LE CIVILTA' DEL LAVORO 1;95047;023;PATERNO';CTIC84500V@istruzione.it;CTIC84500V@pec.istruzione.it;095859837;80022770871
Catania;ISTITUTO COMPRENSIVO;CTIC84700E;IC E. DE AMICIS - RANDAZZO;PIAZZA     LORETO;95036;021;RANDAZZO;CTIC84700E@istruzione.it;CTIC84700E@pec.istruzione.it;095921225;83002340871
Catania;ISTITUTO COMPRENSIVO;CTIC84800A;IC DALLA CHIESA-S.G.LA PUNTA;VIA BALATELLE N.18;95037;018;SAN GIOVANNI LA PUNTA;CTIC84800A@istruzione.it;CTIC84800A@pec.istruzione.it;0957177802;90004490877
Catania;ISTITUTO COMPRENSIVO;CTIC85000A;IC DON BOSCO - S.M.LICODIA;VIA SOLFERINO 63;95038;023;SANTA MARIA DI LICODIA;CTIC85000A@istruzione.it;CTIC85000A@pec.istruzione.it;095629329;80014630877
Catania;ISTITUTO COMPRENSIVO;CTIC852002;IC D. SAVIO - S. GREGORIO;VIA SGROPPILLO 27;95027;018;SAN GREGORIO DI CATANIA;CTIC852002@istruzione.it;CTIC852002@pec.istruzione.it;0957126869;80022030870
Catania;ISTITUTO COMPRENSIVO;CTIC85300T;I.C. VITTORINI-S.P.CLARENZA;VIA DUSMET 24;95030;018;SAN PIETRO CLARENZA;CTIC85300T@istruzione.it;CTIC85300T@pec.istruzione.it;095529545;93067830872
Catania;ISTITUTO COMPRENSIVO;CTIC85500D;IC P. G. M. ALLEGRA-VALVERDE;VIA V.EMANUELE;95028;019;VALVERDE;CTIC85500D@istruzione.it;CTIC85500D@pec.istruzione.it;095524077;90014270871
Catania;ISTITUTO COMPRENSIVO;CTIC856009;IC GIOVANNI VERGA - VIAGRANDE;VIA        PACINI, 62;95029;018;VIAGRANDE;CTIC856009@istruzione.it;CTIC856009@pec.istruzione.it;0957894373;81003650876
Catania;ISTITUTO COMPRENSIVO;CTIC857005;"I.C.""ERCOLE PATTI"" TRECASTAGNI";VIA MACHIAVELLI,1;95039;018;TRECASTAGNI;CTIC857005@istruzione.it;CTIC857005@pec.istruzione.it;0956782434;81002350874
Catania;ISTITUTO COMPRENSIVO;CTIC858001;IC. DE AMICIS TREMESTIERI ETNEO;VIA  MAIORANA;95030;018;TREMESTIERI ETNEO;CTIC858001@istruzione.it;CTIC858001@pec.istruzione.it;0957413122;80008650873
Catania;ISTITUTO COMPRENSIVO;CTIC85900R;"I.C.S. ""GIOVANNI VERGA""";VIALE MARGHERITA, 54;95049;016;VIZZINI;CTIC85900R@istruzione.it;CTIC85900R@pec.istruzione.it;0933965683;91013560874
Catania;ISTITUTO COMPRENSIVO;CTIC860001;IC F.DE ROBERTO -ZAFFERANA;PIAZZALE TIENANMEN             5;95019;019;ZAFFERANA ETNEA;CTIC860001@istruzione.it;CTIC860001@pec.istruzione.it;0957082022;81004090874
Catania;ISTITUTO COMPRENSIVO;CTIC86100R;IC M.PURRELLO - S.GREGORIO;VIA        FONDO DI GULLO;95027;018;SAN GREGORIO DI CATANIA;CTIC86100R@istruzione.it;CTIC86100R@pec.istruzione.it;095524407;80011180876
Catania;ISTITUTO COMPRENSIVO;CTIC86200L;IC PESTALOZZI CATANIA;VILLAGGIO S.AGATA - ZONA A;95121;066;CATANIA;CTIC86200L@istruzione.it;CTIC86200L@pec.istruzione.it;095454566;80013790870
Catania;ISTITUTO COMPRENSIVO;CTIC86300C;IC CAMPANELLA-STURZO CATANIA;VIALE BUMMACARO 8;95121;066;CATANIA;CTIC86300C@istruzione.it;CTIC86300C@pec.istruzione.it;095575046;93066960878
Catania;ISTITUTO COMPRENSIVO;CTIC864008;IC  DUSMET - DORIA CATANIA;VIALE CASTAGNOLA 13;95121;066;CATANIA;CTIC864008@istruzione.it;CTIC864008@pec.istruzione.it;095571356;80012230878
Catania;ISTITUTO COMPRENSIVO;CTIC86700Q;I.C. FONTANAROSSA;VIA FONTANAROSSA 9;95121;066;CATANIA;CTIC86700Q@istruzione.it;CTIC86700Q@pec.istruzione.it;095340566;93105030873
Catania;ISTITUTO COMPRENSIVO;CTIC87500P;IC FRANCESCO PETRARCA - CATANIA;VIA  GIOVANNI GIOVIALE N. 11;95123;012;CATANIA;CTIC87500P@istruzione.it;CTIC87500P@pec.istruzione.it;0957141765;80014420873
Catania;ISTITUTO COMPRENSIVO;CTIC880006;IC FELTRE - CATANIA;VIA DURANTE, 13;95123;012;CATANIA;CTIC880006@istruzione.it;CTIC880006@pec.istruzione.it;095471061;80010230870
Catania;ISTITUTO COMPRENSIVO;CTIC881002;MUSCO;VIALE G.DA VERRAZZANO 101;95121;066;CATANIA;CTIC881002@istruzione.it;CTIC881002@pec.istruzione.it;095575577;80025540875
Catania;ISTITUTO COMPRENSIVO;CTIC88200T;I.C. PITAGORA MISTERBIANCO;VIA FRATELLI CERVI N.4;95045;013;MISTERBIANCO;CTIC88200T@istruzione.it;CTIC88200T@pec.istruzione.it;0957556921;93014730878
Catania;ISTITUTO COMPRENSIVO;CTIC88300N;IC DON L. MILANI MISTERBIANCO;VIA FEDERICO DE ROBERTO    N.  2;95045;013;MISTERBIANCO;CTIC88300N@istruzione.it;CTIC88300N@pec.istruzione.it;0957556948;80012290872
Catania;ISTITUTO COMPRENSIVO;CTIC885009;IC G.PARINI - CATANIA;VIA S. QUASIMODO N.3;95126;014;CATANIA;CTIC885009@istruzione.it;CTIC885009@pec.istruzione.it;095497892;80012130870
Catania;ISTITUTO COMPRENSIVO;CTIC886005;IC V.BRANCATI - CATANIA;VIALE   S. TEODORO N. 2;95121;066;CATANIA;CTIC886005@istruzione.it;CTIC886005@pec.istruzione.it;095457478;80014150876
Catania;ISTITUTO COMPRENSIVO;CTIC887001;IC F. DE ROBERTO - CATANIA;VIA        CONFALONIERI 9/D;95123;066;CATANIA;CTIC887001@istruzione.it;CTIC887001@pec.istruzione.it;095350144;80011370873
Catania;ISTITUTO COMPRENSIVO;CTIC88800R;I.C. LEONARDO SCIASCIA;STRADALE S.G.GALERMO S/N;95045;013;MISTERBIANCO;CTIC88800R@istruzione.it;CTIC88800R@pec.istruzione.it;0957556969;93066950879
Catania;ISTITUTO COMPRENSIVO;CTIC88900L;IC P. PIO DA PIETRALCINA MISTER;VIA MODENA 21;95045;013;MISTERBIANCO;CTIC88900L@istruzione.it;CTIC88900L@pec.istruzione.it;0957556951;80022910873
Catania;ISTITUTO COMPRENSIVO;CTIC89000R;IC GABELLI MISTERBIANCO;VIA A.GRAMSCI;95045;013;MISTERBIANCO;CTIC89000R@istruzione.it;CTIC89000R@pec.istruzione.it;0957556912;80007270871
Catania;ISTITUTO COMPRENSIVO;CTIC89100L;I. C. DE CRUYLLAS - RAMACCA;VIALE LIBERTA', 20;95040;017;RAMACCA;CTIC89100L@istruzione.it;CTIC89100L@pec.istruzione.it;0957930128;82002420873
Catania;ISTITUTO COMPRENSIVO;CTIC89200C;IC XX SETTEMBRE CATANIA;VIA SIGNORELLI 1;95128;012;CATANIA;CTIC89200C@istruzione.it;CTIC89200C@pec.istruzione.it;095434114;80011820877
Catania;ISTITUTO COMPRENSIVO;CTIC893008;IC G.B. NICOLOSI  -  PATERNO';VIA SCALA VECCHIA;95047;023;PATERNO';CTIC893008@istruzione.it;CTIC893008@pec.istruzione.it;095842978;80013300878
Catania;ISTITUTO COMPRENSIVO;CTIC894004;IC MALERBA CATANIA;VIA PIDATELLA 127;95126;014;CATANIA;CTIC894004@istruzione.it;CTIC894004@pec.istruzione.it;095383854;93158760871
Catania;ISTITUTO COMPRENSIVO;CTIC89600Q;IC  COPPOLA CATANIA;VIA MEDAGLIE D'ORO 25;95124;066;CATANIA;CTIC89600Q@istruzione.it;CTIC89600Q@pec.istruzione.it;095350272;80011950872
Catania;ISTITUTO COMPRENSIVO;CTIC89700G;ITALO CALVINO;VIA BRINDISI 11;95125;012;CATANIA;CTIC89700G@istruzione.it;CTIC89700G@pec.istruzione.it;095330560;93158750872
Catania;ISTITUTO COMPRENSIVO;CTIC89800B;I.C.  DIAZ - MANZONI  CATANIA;VIA PLEBISCITO 784;95124;012;CATANIA;CTIC89800B@istruzione.it;CTIC89800B@pec.istruzione.it;095322402;80006930871
Catania;ISTITUTO COMPRENSIVO;CTIC899007;IC  SAN GIORGIO - CATANIA;STR.LE SAN GIORGIO,29;95121;066;CATANIA;CTIC899007@istruzione.it;CTIC899007@pec.istruzione.it;095570530;93105330877
Catania;ISTITUTO COMPRENSIVO;CTIC8A000X;III-STITUTO COMPRENSIVO  GIARRE;VIALE DON MINZONI, 66;95014;020;GIARRE;CTIC8A000X@istruzione.it;CTIC8A000X@pec.istruzione.it;095931031;83001570874
Catania;ISTITUTO COMPRENSIVO;CTIC8A100Q;GIUSEPPE GUZZARDI;VIA SAN GIOVANNI,30;95031;022;ADRANO;CTIC8A100Q@istruzione.it;CTIC8A100Q@pec.istruzione.it;0957692779;80012640878
Catania;ISTITUTO COMPRENSIVO;CTIC8A200G;II- ISTITUTO COMPRENSIVO ADRANO;VIA  ROMA, 42;95031;022;ADRANO;CTIC8A200G@istruzione.it;CTIC8A200G@pec.istruzione.it;0957692838;80011020874
Catania;ISTITUTO COMPRENSIVO;CTIC8A300B;IC LEONARDO DA VINCI-MASCALUCIA;VIA REGIONE SICILIANA N. 12;95030;018;MASCALUCIA;CTIC8A300B@istruzione.it;CTIC8A300B@pec.istruzione.it;0957275776;80011870872
Catania;ISTITUTO COMPRENSIVO;CTIC8A4007;"I.C.   ""G.RODARI -G.NOSENGO""";VIA S.PAOLO N. 107;95030;018;GRAVINA DI CATANIA;CTIC8A4007@istruzione.it;CTIC8A4007@pec.istruzione.it;0957258150;93190610878
Catania;ISTITUTO COMPRENSIVO;CTIC8A5003;GIOVANNI BLANDINI;VIA AMEDEO 29;95046;017;PALAGONIA;CTIC8A5003@istruzione.it;CTIC8A5003@pec.istruzione.it;0957958712;91026560879
Catania;ISTITUTO COMPRENSIVO;CTIC8A600V;SANTE GIUFFRIDA;VIALE AFRICA 198;95129;014;CATANIA;CTIC8A600V@istruzione.it;CTIC8A600V@pec.istruzione.it;0957465696;93203350876
Catania;ISTITUTO COMPRENSIVO;CTIC8A700P;C.B.CAVOUR - CATANIA;VIA CARBONE,6;95129;014;CATANIA;CTIC8A700P@istruzione.it;CTIC8A700P@pec.istruzione.it;095310480;93203360875
Catania;ISTITUTO COMPRENSIVO;CTIC8A800E;I.C.  SAURO - GIOVANNI XXIII;VIA TORQUATO TASSO 2;95123;012;CATANIA;CTIC8A800E@istruzione.it;CTIC8A800E@pec.istruzione.it;095475037;93209870877
Catania;ISTITUTO COMPRENSIVO;CTIC8A900A;I.C.  PIZZIGONI- CARDUCCI;VIA SIENA 5;95128;014;CATANIA;CTIC8A900A@istruzione.it;CTIC8A900A@pec.istruzione.it;095434300;93216120878
Catania;ISTITUTO COMPRENSIVO;CTIC8AB00G;IC CESARE BATTISTI CATANIA;VIA S.M.SALETTE 76;95121;066;CATANIA;CTIC8AB00G@istruzione.it;CTIC8AB00G@pec.istruzione.it;095341340;80008050876
Catania;ISTITUTO COMPRENSIVO;CTIC8AC00B;"IC ""G. DELEDDA"" CATANIA";PIAZZA MONTESSORI;95124;012;CATANIA;CTIC8AC00B@istruzione.it;CTIC8AC00B@pec.istruzione.it;095360913;80027550872
Catania;ISTITUTO COMPRENSIVO;CTIC8AD007;IC  S.G. BOSCO CATANIA;VIA LEOTTA 13;95122;066;CATANIA;CTIC8AD007@istruzione.it;CTIC8AD007@pec.istruzione.it;095455155;80012210870
Catania;ISTITUTO COMPRENSIVO;CTIC8AE003;IC  TEMPESTA CATANIA;VIA GRAMIGNANI 97;95121;066;CATANIA;CTIC8AE003@istruzione.it;CTIC8AE003@pec.istruzione.it;095345083;80011400878
Catania;ISTITUTO COMPRENSIVO;CTIC8AF00V;IC  M. MONTESSORI - P.MASCAGNI;VIA GIUSEPPE DI GREGORIO, 22;95122;066;CATANIA;CTIC8AF00V@istruzione.it;CTIC8AF00V@pec.istruzione.it;095201922;80016050876
Catania;ISTITUTO COMPRENSIVO;CTIC8AG00P;I.C. P.S. DI GUARDO - QUASIMODO;VIA S. VITALE 22;95123;012;CATANIA;CTIC8AG00P@istruzione.it;CTIC8AG00P@pec.istruzione.it;0957440026;93182750872
Catania;ISTITUTO COMPRENSIVO;CTIC8AH00E;VESPUCCI - CAPUANA PIRANDELLO;VIA ZAPPALA' GEMELLI 3;95121;066;CATANIA;CTIC8AH00E@istruzione.it;CTIC8AH00E@pec.istruzione.it;095345181;80011080878
Catania;ISTITUTO COMPRENSIVO;CTIC8AJ00Q;G.GALILEI - G.MAZZINI;VIA DALIA     S.N.;95042;015;GRAMMICHELE;CTIC8AJ00Q@istruzione.it;CTIC8AJ00Q@pec.istruzione.it;0933940071;91024330879
Catania;ISTITUTO COMPRENSIVO;CTIC8AK00G;I.C.  MASCALI;PIAZZA DANTE ALIGHIERI;95016;020;MASCALI;CTIC8AK00G@istruzione.it;CTIC8AK00G@pec.istruzione.it;095966253;83001510870
Catania;ISTITUTO COMPRENSIVO;CTIC8AL00B;I.C.  GIOVANNI VERGA RIPOSTO;VIA CIALDINI,122;95018;020;RIPOSTO;CTIC8AL00B@istruzione.it;CTIC8AL00B@pec.istruzione.it;095931590;83001050877
Catania;ISTITUTO COMPRENSIVO;CTIC8AM007;"I.C.  "" G.FALCONE"" S.G.LA PUNTA";VIA PISA-PIAZZA GIOVANNI XXIII;95037;018;SAN GIOVANNI LA PUNTA;CTIC8AM007@istruzione.it;CTIC8AM007@pec.istruzione.it;0957512713;81005200878
Catania;ISTITUTO COMPRENSIVO;CTIC8AN003;"I.C.S.  "" G. VERGA"" SCORDIA";PIAZZA CARLO ALBERTO, 10;95048;017;SCORDIA;CTIC8AN003@istruzione.it;CTIC8AN003@pec.istruzione.it;095657120;80014210878
Catania;ISTITUTO COMPRENSIVO;CTIC8AP00P;"I.C. ""SALVO BASSO""";VIA BACHELET N. 01;95048;017;SCORDIA;CTIC8AP00P@istruzione.it;CTIC8AP00P@pec.istruzione.it;095659720;93105170877
Catania;ISTITUTO COMPRENSIVO;CTIC8AQ00E;I.C.  S.VENERINA;VIA ALDO MORO;95010;019;SANTA VENERINA;CTIC8AQ00E@istruzione.it;CTIC8AQ00E@pec.istruzione.it;0957000515;81003130879
Catania;ISTITUTO COMPRENSIVO;CTIC8AR00A;"I - I.C.  ""FABRIZIO DE ANDRE'""";VIA VERONICA 63;95025;019;ACI SANT'ANTONIO;CTIC8AR00A@istruzione.it;CTIC8AR00A@pec.istruzione.it;0957891232;81005640875
Catania;ISTITUTO COMPRENSIVO;CTIC8AS00G;II - I.C.  A. DE GASPERI;VIA T. NICOLA MAUGERI, N. 4;95025;019;ACI SANT'ANTONIO;CTIC8AS00G@istruzione.it;CTIC8AS00G@pec.istruzione.it;0957022373;81002250876
Catania;ISTITUTO COMPRENSIVO;CTIC8AT00B;I - I.C. VIA MARCH.  S.GIULIANO;VIA MARCHESE DI SAN GIULIANO 51;95024;019;ACIREALE;CTIC8AT00B@istruzione.it;CTIC8AT00B@pec.istruzione.it;095604600;81001970870
Catania;ISTITUTO COMPRENSIVO;CTIC8AU007;III - I.C. RODARI ACIREALE;VIA DEL CASTELLO 3  (S.G. BOSCO);95024;019;ACIREALE;CTIC8AU007@istruzione.it;CTIC8AU007@pec.istruzione.it;095809592;81002970879
Catania;ISTITUTO COMPRENSIVO;CTIC8AV003;IV - I.C.  GALILEI ACIREALE;VIA MARIO ARCIDIACONO 2;95024;019;ACIREALE;CTIC8AV003@istruzione.it;CTIC8AV003@pec.istruzione.it;0957634300;90050120873
Catania;ISTITUTO COMPRENSIVO;CTIC8AX00P;I.C. MARIA MONTESSORI;VIA MONTESSORI,3;95041;015;CALTAGIRONE;CTIC8AX00P@istruzione.it;CTIC8AX00P@pec.istruzione.it;093321205;82001350873
